label,lon,lat
A,-164.2727833333,-2.5426333333
A,-164.27025,-2.54385
A,-164.2679166667,-2.5450166667
A,-164.2654666667,-2.5462333333
A,-164.2630833333,-2.5473833333
A,-164.2605833333,-2.5486
A,-164.2287666667,-2.5642166667
A,-164.2262666667,-2.56545
A,-164.21232,-2.57232
A,-164.20984,-2.57352
A,-164.2076,-2.57464
A,-164.20512,-2.57584
A,-164.2027466667,-2.57704
A,-164.2002666667,-2.57824
A,-164.1973066667,-2.5797066667
A,-164.1954933333,-2.5806133333
A,-164.1928,-2.58192
A,-164.1840166667,-2.5861666667
A,-164.1832166667,-2.5865833333
A,-164.1801666667,-2.5880666667
A,-164.1784,-2.5889166667
A,-164.1759,-2.5901333333
A,-164.1734166667,-2.59135
A,-164.1709333333,-2.5925333333
A,-164.1683833333,-2.5937833333
A,-164.1644166667,-2.5957
A,-164.1635166667,-2.5961666667
A,-164.1610333333,-2.59735
A,-164.1584,-2.5986333333
A,-164.1559833333,-2.5998166667
A,-164.1141333333,-2.6206666667
A,-164.0953333333,-2.6305
A,-164.0929166667,-2.6319166667
A,-164.0902,-2.6335
A,-164.0895333333,-2.6339166667
A,-164.0872833333,-2.6352833333
A,-164.0849333333,-2.63675
A,-164.0821833333,-2.6385166667
A,-164.0794833333,-2.6402666667
A,-164.0766833333,-2.6421
A,-164.0738666667,-2.6439666667
A,-164.0528833333,-2.6576833333
A,-164.0513666667,-2.6586666667
A,-164.0491666667,-2.6600833333
A,-164.04675,-2.6616666667
A,-164.0443166667,-2.6632666667
A,-164.0419166667,-2.6648166667
A,-164.0397166667,-2.6663
A,-164.0372333333,-2.6679666667
A,-164.0348833333,-2.66945
A,-164.0324333333,-2.6710666667
A,-164.0299833333,-2.67265
A,-164.0257833333,-2.6754
A,-164.0179166667,-2.6805833333
A,-164.0154666667,-2.6821833333
A,-164.00135,-2.6916333333
A,-163.8941066667,-2.7587733333
A,-163.8937066667,-2.7590133333
A,-163.8916,-2.76016
A,-163.8888,-2.7617066667
A,-163.8858666667,-2.7633066667
A,-163.8792533333,-2.7669333333
A,-163.8612666667,-2.7768833333
A,-163.8529066667,-2.78152
A,-163.8493,-2.7835
A,-163.846,-2.7853333333
A,-163.84512,-2.78584
A,-163.8426933333,-2.7871466667
A,-163.8401866667,-2.7885333333
A,-163.8377866667,-2.7898666667
A,-163.83528,-2.7912533333
A,-163.8328533333,-2.7925866667
A,-163.8303733333,-2.7939733333
A,-163.8278666667,-2.7953866667
A,-163.8255466667,-2.79672
A,-163.8229066667,-2.7981866667
A,-163.8204533333,-2.79952
A,-163.8180266667,-2.80088
A,-163.81552,-2.8022666667
A,-163.81296,-2.8036533333
A,-163.8104533333,-2.8050666667
A,-163.80792,-2.80648
A,-163.8054666667,-2.80784
A,-163.8002333333,-2.8107333333
A,-163.78136,-2.8212266667
A,-163.7800533333,-2.822
A,-163.7754133333,-2.8245333333
A,-163.7726933333,-2.82608
A,-163.7703466667,-2.8273866667
A,-163.7442666667,-2.84184
A,-163.7419466667,-2.8431466667
A,-163.7407466667,-2.8438133333
A,-163.7380266667,-2.8453066667
A,-163.7356,-2.8466933333
A,-163.73336,-2.84792
A,-163.7306666667,-2.8494133333
A,-163.7282133333,-2.8507733333
A,-163.7256,-2.8522133333
A,-163.7228266667,-2.8537333333
A,-163.7208266667,-2.8548533333
A,-163.7182933333,-2.8562666667
A,-163.71576,-2.8577066667
A,-163.7125866667,-2.8594666667
A,-163.7108533333,-2.8604533333
A,-163.7082933333,-2.8618933333
A,-163.70576,-2.8633333333
A,-163.7033866667,-2.8646666667
A,-163.7008533333,-2.8661066667
A,-163.6983733333,-2.8674666667
A,-163.6956,-2.86904
A,-163.6932,-2.8704
A,-163.6902666667,-2.8720533333
A,-163.6882133333,-2.8732
A,-163.6857066667,-2.8746133333
A,-163.68272,-2.87632
A,-163.6796,-2.8780533333
A,-163.67184,-2.8825066667
A,-163.67072,-2.8831466667
A,-163.6676533333,-2.88488
A,-163.6657866667,-2.88592
A,-163.6633066667,-2.8873066667
A,-163.6608266667,-2.88872
A,-163.6583733333,-2.8901333333
A,-163.6557866667,-2.8915733333
A,-163.6533866667,-2.8929333333
